id,Lat,Lon,cluster
1,6.627922,44.422007,0
2,6.628048,44.422003,0
3,6.628173,44.421999,0
4,6.628298,44.421995,0
5,6.628424,44.421991,0
6,6.628549,44.421987,0
7,6.628675,44.421983,0
8,6.6288,44.421979,0
9,6.628925,44.421975,0
10,6.629051,44.421971,0
11,6.629176,44.421967,0
12,6.629301,44.421963,0
13,6.629427,44.421959,0
14,6.629552,44.421955,0
15,6.629678,44.421951,0
16,6.629803,44.421947,0
17,6.629928,44.421943,0
18,6.630054,44.421939,0
19,6.630179,44.421935,0
20,6.630304,44.421931,0
21,6.63043,44.421927,0
22,6.630555,44.421923,0
23,6.630681,44.421919,0
24,6.630806,44.421915,0
25,6.630931,44.421911,0
26,6.631057,44.421907,0
27,6.631182,44.421903,0
28,6.631307,44.421899,0
29,6.631433,44.421895,0
30,6.631558,44.421891,0
31,6.631683,44.421887,0
32,6.631809,44.421883,0
33,6.631934,44.421879,0
34,6.63206,44.421875,0
35,6.632185,44.421871,0
36,6.63231,44.421867,0
37,6.632436,44.421863,0
38,6.632561,44.421859,0
39,6.632686,44.421855,0
40,6.632812,44.421851,0
41,6.632937,44.421847,0
42,6.633063,44.421843,0
43,6.633188,44.421839,0
44,6.633313,44.421835,0
45,6.633439,44.421831,0
46,6.633564,44.421827,0
47,6.633689,44.421823,0
48,6.633815,44.421819,0
49,6.63394,44.421815,0
50,6.634065,44.421811,0
51,6.634191,44.421807,0
52,6.634316,44.421803,0
53,6.634442,44.421799,0
54,6.634567,44.421795,0
55,6.634692,44.421791,0
56,6.634818,44.421787,0
57,6.634943,44.421783,0
58,6.635068,44.421779,0
59,6.635194,44.421775,0
60,6.635319,44.421771,0
61,6.635445,44.421767,0
62,6.63557,44.421763,0
63,6.635695,44.421759,0
64,6.635821,44.421755,0
65,6.635946,44.421751,0
66,6.636071,44.421747,0
67,6.636197,44.421743,0
68,6.636322,44.421739,0
69,6.636447,44.421735,0
70,6.636573,44.421731,0
71,6.636698,44.421727,0
72,6.636824,44.421723,0
73,6.636949,44.421719,0
74,6.637074,44.421715,0
75,6.6372,44.421711,0
76,6.637325,44.421707,0
77,6.63745,44.421703,0
78,6.637576,44.421699,0
79,6.637701,44.421695,0
80,6.637827,44.421691,0
81,6.637952,44.421687,0
82,6.638077,44.421683,0
83,6.638203,44.421679,0
84,6.638328,44.421675,0
85,6.638453,44.421671,0
86,6.638579,44.421667,0
87,6.638704,44.421663,0
88,6.638829,44.421659,0
89,6.638955,44.421655,0
90,6.63908,44.421651,0
91,6.639206,44.421647,0
92,6.639331,44.421643,0
93,6.639456,44.421639,0
94,6.639582,44.421635,0
95,6.639707,44.421631,0
96,6.639832,44.421627,0
97,6.639958,44.421623,0
98,6.640083,44.421619,0
99,6.640209,44.421615,0
100,6.640334,44.421611,0
101,6.640459,44.421607,0
102,6.640585,44.421603,0
103,6.64071,44.421599,0
104,6.640835,44.421595,0
105,6.640961,44.421591,0
106,6.641086,44.421587,0
107,6.641211,44.421583,0
108,6.641337,44.421579,0
109,6.641462,44.421575,0
110,6.641588,44.421571,0
111,6.641713,44.421567,0
112,6.641838,44.421563,0
113,6.641964,44.421559,0
114,6.642089,44.421555,0
115,6.642214,44.421551,0
116,6.64234,44.421547,0
117,6.642465,44.421543,0
118,6.642591,44.421539,0
119,6.642716,44.421535,0
120,6.642841,44.421531,0
121,6.642967,44.421527,0
122,6.643092,44.421523,0
123,6.643217,44.421519,0
124,6.643343,44.421515,0
125,6.643468,44.421511,0
126,6.643593,44.421507,0
127,6.643719,44.421503,0
128,6.643844,44.421499,0
129,6.64397,44.421495,0
130,6.644095,44.421491,0
131,6.64422,44.421487,0
132,6.644346,44.421483,0
133,6.644471,44.421479,0
134,6.644596,44.421475,0
135,6.644722,44.421471,0
136,6.644847,44.421467,0
137,6.644972,44.421463,0
138,6.645098,44.421459,0
139,6.645223,44.421455,0
140,6.645349,44.421451,0
141,6.645474,44.421447,0
142,6.645599,44.421443,0
143,6.645725,44.421439,0
144,6.64585,44.421435,0
145,6.645975,44.421431,0
146,6.646101,44.421427,0
147,6.646226,44.421423,0
148,6.646352,44.421419,0
149,6.646477,44.421415,0
150,6.646602,44.421411,0
151,6.646728,44.421407,0
152,6.646853,44.421403,0
153,6.646978,44.421399,0
154,6.647104,44.421395,0
155,6.647229,44.421391,0
156,6.647354,44.421387,0
157,6.64748,44.421383,0
158,6.647605,44.421379,0
159,6.647731,44.421375,0
160,6.647856,44.421371,0
161,6.647981,44.421367,0
162,6.648107,44.421363,0
163,6.648232,44.421359,0
164,6.648357,44.421355,0
165,6.648483,44.421351,0
166,6.648608,44.421347,0
167,6.648733,44.421343,0
168,6.648859,44.421339,0
169,6.648984,44.421335,0
170,6.64911,44.421331,0
171,6.649235,44.421327,0
172,6.64936,44.421323,0
173,6.649486,44.421319,0
174,6.649611,44.421315,0
175,6.649736,44.421311,0
176,6.649862,44.421307,0
177,6.649987,44.421303,0
178,6.650112,44.421299,0
179,6.650238,44.421295,0
180,6.650363,44.421291,0
181,6.650489,44.421287,0
182,6.650614,44.421283,0
183,6.650739,44.421279,0
